"Category","Notice_type","Notice_desc","Company_name","Company_number","Date","notice_id"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ND BUSINESS PERFORMANCE LIMITED (10436029)","ND BUSINESS PERFORMANCE LIMITED","10436029",2020-03-11,"3520883"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ARCHON SOLICITORS LIMITED (07369740)","ARCHON SOLICITORS LIMITED","07369740",2020-03-11,"3520929"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NETSIMPLE LIMITED (03935596)","NETSIMPLE LIMITED","03935596",2020-03-11,"3520932"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AFTER THE FLOOD LIMITED (07792366)","AFTER THE FLOOD LIMITED","07792366",2020-03-11,"3520934"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ATELIER & AVENUE LIMITED (08899575)","ATELIER & AVENUE LIMITED","08899575",2020-03-11,"3520941"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MAXMAN CONSTRUCTION LTD (10055860)","MAXMAN CONSTRUCTION LTD","10055860",2020-03-11,"3520955"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for WATLING BUSINESS MANAGEMENT LIMITED (09146392)","WATLING BUSINESS MANAGEMENT LIMITED","09146392",2020-03-11,"3520981"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CREATIVE HOSPITALITY PAYROLL LTD  (09556645)","CREATIVE HOSPITALITY PAYROLL LTD","09556645",2020-03-11,"3520991"
"Corporate Insolvency","Resolutions for Winding-up","Open Government Licence","KQ DEVELOPMENTS LIMITED","3520995",2020-03-11,"3520995"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CRESCENDO BUSINESS SOLUTIONS LIMITED (10230624)","CRESCENDO BUSINESS SOLUTIONS LIMITED","10230624",2020-03-11,"3520998"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ATHENA ASPIRE LIMITED (10893766)","ATHENA ASPIRE LIMITED","10893766",2020-03-11,"3521005"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NEPTUNE GEOSERVICES LTD (09816526)","NEPTUNE GEOSERVICES LTD","09816526",2020-03-11,"3521483"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for COSIBELL LIMITED (07738931)","COSIBELL LIMITED","07738931",2020-03-11,"3521484"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PAH SOLUTIONS LIMITED (09099639)","PAH SOLUTIONS LIMITED","09099639",2020-03-11,"3521493"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SAVI ANALYTICS LTD (09882819)","SAVI ANALYTICS LTD","09882819",2020-03-11,"3522036"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for INSPECTION SUPPORT LTD (08340848)","INSPECTION SUPPORT LTD","08340848",2020-03-11,"3522080"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RYMER ENGINEERING LIMITED (11217029)","RYMER ENGINEERING LIMITED","11217029",2020-03-11,"3522144"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for EQUAL XYZ LTD (10659701)","EQUAL XYZ LTD","10659701",2020-03-12,"3520451"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ELECFLOW DEVELOPMENTS LTD (11363085)","ELECFLOW DEVELOPMENTS LTD","11363085",2020-03-12,"3520845"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FORTRESS SOLUTIONS LIMITED (06237048)","FORTRESS SOLUTIONS LIMITED","06237048",2020-03-12,"3522177"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JOHN R PARKER LIMITED (07120463)","JOHN R PARKER LIMITED","07120463",2020-03-12,"3522178"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THE PINEAPPLE (DORNEY) LIMITED (11185297)","THE PINEAPPLE (DORNEY) LIMITED","11185297",2020-03-12,"3522179"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CAFE 714 LIMITED (05571761 )","CAFE 714 LIMITED","05571761",2020-03-12,"3522180"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ROOFING & CLADDING CONSTRUCTION LIMITED (02624598)","ROOFING & CLADDING CONSTRUCTION LIMITED","02624598",2020-03-12,"3522181"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DSL ELECTRICAL SERVICES LIMITED (10170372)","DSL ELECTRICAL SERVICES LIMITED","10170372",2020-03-12,"3522185"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ARNALL MANAGEMENT COMPANY LIMITED (03328633 )","ARNALL MANAGEMENT COMPANY LIMITED","03328633",2020-03-12,"3522187"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MERLIN BLOODSTOCK LIMITED (09882055)","MERLIN BLOODSTOCK LIMITED","09882055",2020-03-12,"3522189"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CORP PROJECTS UK LTD (09436597)","CORP PROJECTS UK LTD","09436597",2020-03-12,"3522190"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LARKHIGH LIMITED (02746792)","LARKHIGH LIMITED","02746792",2020-03-12,"3522194"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JANET SMYTH LTD (09156755)","JANET SMYTH LTD","09156755",2020-03-12,"3522195"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LONDON ENERGY CONSULTING LIMITED (07458660)","LONDON ENERGY CONSULTING LIMITED","07458660",2020-03-12,"3522198"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for GIBSON HOLDINGS LIMITED (02428183 )","GIBSON HOLDINGS LIMITED","02428183",2020-03-12,"3522204"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JT INTERIM MANAGEMENT LIMITED (06648705)","JT INTERIM MANAGEMENT LIMITED","06648705",2020-03-12,"3522205"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MULTIMEDIA COMPUTING LIMITED (02741698)","MULTIMEDIA COMPUTING LIMITED","02741698",2020-03-12,"3522211"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FLEXTIME LIMITED (07383704)","FLEXTIME LIMITED","07383704",2020-03-12,"3522214"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BRYTECH CONSTRUCTION LIMITED (03305172)","BRYTECH CONSTRUCTION LIMITED","03305172",2020-03-12,"3522216"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JAMES MCMAHON LIMITED (09032872)","JAMES MCMAHON LIMITED","09032872",2020-03-12,"3522217"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CALABREZE RESTAURANT LTD (10663238)","CALABREZE RESTAURANT LTD","10663238",2020-03-12,"3522218"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ROBERT NORMAN CONSTRUCTION LIMITED (02369814)","ROBERT NORMAN CONSTRUCTION LIMITED","02369814",2020-03-12,"3522221"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ADAN ASSOCIATES LIMITED (09540457)","ADAN ASSOCIATES LIMITED","09540457",2020-03-12,"3522223"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DRAKENSTEIN CONSULTING SOLUTIONS LIMITED (09737404)","DRAKENSTEIN CONSULTING SOLUTIONS LIMITED","09737404",2020-03-12,"3522228"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ACED LIMITED (10561208)","ACED LIMITED","10561208",2020-03-12,"3522230"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for COMPUTEL SYSTEMS LIMITED (05530212)","COMPUTEL SYSTEMS LIMITED","05530212",2020-03-12,"3522231"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LEYSHON LIMITED (02817779)","LEYSHON LIMITED","02817779",2020-03-12,"3522232"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BK & SONS LTD (08775573)","BK & SONS LTD","08775573",2020-03-12,"3522236"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DATAVERITAS LTD (10043025)","DATAVERITAS LTD","10043025",2020-03-12,"3522241"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MLING CONSULTING LIMITED (09569161)","MLING CONSULTING LIMITED","09569161",2020-03-12,"3522244"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MERCERS LIMITED (03799445)","MERCERS LIMITED","03799445",2020-03-12,"3522247"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DSI SOLUTIONS LTD (08933003)","DSI SOLUTIONS LTD","08933003",2020-03-12,"3522250"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DEMAND MEDIA LIMITED (06337566)","DEMAND MEDIA LIMITED","06337566",2020-03-12,"3522257"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SOULTECH LTD (06910302)","SOULTECH LTD","06910302",2020-03-12,"3522260"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BIT EVOLUTION LTD (08392347)","BIT EVOLUTION LTD","08392347",2020-03-12,"3522261"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AGILE VISION CONSULTANCY LIMITED (10169713)","AGILE VISION CONSULTANCY LIMITED","10169713",2020-03-12,"3522263"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THE OASIS CONCEPT LIMITED (08127207)","THE OASIS CONCEPT LIMITED","08127207",2020-03-12,"3522264"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NMOSES ENGINEERING LTD. (08500310)","NMOSES ENGINEERING LTD.","08500310",2020-03-12,"3522271"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PRAESIDIUM PARTNERS LIMITED (08884151)","PRAESIDIUM PARTNERS LIMITED","08884151",2020-03-12,"3522274"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PIZZA GOGO ALDERSHOT LIMITED (09926227)","PIZZA GOGO ALDERSHOT LIMITED","09926227",2020-03-12,"3522275"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for THE WOODMANS ARMS GASTRO PUB LTD (11100544)","THE WOODMANS ARMS GASTRO PUB LTD","11100544",2020-03-12,"3522279"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RIXON CONSULTING LIMITED (08034192)","RIXON CONSULTING LIMITED","08034192",2020-03-12,"3522281"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LOGICALE CONSULTING LIMITED (09590179)","LOGICALE CONSULTING LIMITED","09590179",2020-03-12,"3522291"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LE BEAU IDEAL LTD (08494746)","LE BEAU IDEAL LTD","08494746",2020-03-12,"3522297"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for IMA UK ASSISTANCE LIMITED (04292117)","IMA UK ASSISTANCE LIMITED","04292117",2020-03-12,"3522307"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MAXILARI LIMITED (09788597)","MAXILARI LIMITED","09788597",2020-03-12,"3522310"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AXESS LIMITED (02868143)","AXESS LIMITED","02868143",2020-03-12,"3522311"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for FINATA SOLUTIONS LIMITED (08190738)","FINATA SOLUTIONS LIMITED","08190738",2020-03-12,"3522312"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CREATING REALITIES LTD (10369005)","CREATING REALITIES LTD","10369005",2020-03-12,"3522315"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for 12 PRINCIPLES LIMITED (07997578)","12 PRINCIPLES LIMITED","07997578",2020-03-12,"3522320"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AAISYS LIMITED (07878570)","AAISYS LIMITED","07878570",2020-03-12,"3522321"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for ORFALYS LIMITED (08875378)","ORFALYS LIMITED","08875378",2020-03-12,"3522323"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MBSTATS LTD (09784775)","MBSTATS LTD","09784775",2020-03-12,"3522327"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for HASS MANAGEMENT LIMITED (09896729)","HASS MANAGEMENT LIMITED","09896729",2020-03-12,"3522328"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DYNASYS CONSULTING LTD (07727873)","DYNASYS CONSULTING LTD","07727873",2020-03-12,"3522335"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NAUTECH COMPOSITES LTD (10999802)","NAUTECH COMPOSITES LTD","10999802",2020-03-12,"3522337"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for O MOSELEY SOLUTIONS LIMITED (09183072)","O MOSELEY SOLUTIONS LIMITED","09183072",2020-03-12,"3522338"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RUSHCLIFFE PCC LIMITED (11102632)","RUSHCLIFFE PCC LIMITED","11102632",2020-03-12,"3522346"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CT CONSULTANTS LTD (10714010)","CT CONSULTANTS LTD","10714010",2020-03-12,"3522347"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for TRANSCOGNIFY LTD (09095951)","TRANSCOGNIFY LTD","09095951",2020-03-12,"3522348"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MINA SOLUTIONS LIMITED (08286861)","MINA SOLUTIONS LIMITED","08286861",2020-03-12,"3522350"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for CHS CONSULTANCY SERVICES LTD (06399602)","CHS CONSULTANCY SERVICES LTD","06399602",2020-03-12,"3522353"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for OPENSPARK TECHNOLOGIES LIMITED (07684470)","OPENSPARK TECHNOLOGIES LIMITED","07684470",2020-03-12,"3522355"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DEVTECH CONSULTANCY LIMITED (10284561)","DEVTECH CONSULTANCY LIMITED","10284561",2020-03-12,"3522361"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for G.T.G.ENGINEERING CO.(LOUGHBOROUGH)LIMITED (00632384)","G.T.G.ENGINEERING CO.(LOUGHBOROUGH)LIMITED","00632384",2020-03-12,"3522367"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for JONATHAN HARRISON LIMITED (09189788)","JONATHAN HARRISON LIMITED","09189788",2020-03-12,"3522371"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for BLACK SHEEP APPS LTD. (08094872)","BLACK SHEEP APPS LTD.","08094872",2020-03-12,"3522380"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for NEXUS MARKETS LIMITED (09044437 )","NEXUS MARKETS LIMITED","09044437",2020-03-12,"3522381"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RM TECHNICAL SERVICES (NOTTINGHAM) LIMITED (05295789)","RM TECHNICAL SERVICES (NOTTINGHAM) LIMITED","05295789",2020-03-12,"3522382"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DRAGIEVA LTD (09645466)","DRAGIEVA LTD","09645466",2020-03-12,"3522384"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SAUTOUR LTD (09712397)","SAUTOUR LTD","09712397",2020-03-12,"3522385"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for DINAT SOLUTIONS LTD (06088374)","DINAT SOLUTIONS LTD","06088374",2020-03-12,"3522391"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for MUNRO COBHAM LIMITED (08064817)","MUNRO COBHAM LIMITED","08064817",2020-03-12,"3522392"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for AMPLUS CONSULTING LIMITED (09942217)","AMPLUS CONSULTING LIMITED","09942217",2020-03-12,"3522394"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for PEDWAR ENGINEERING LIMITED (08068790)","PEDWAR ENGINEERING LIMITED","08068790",2020-03-12,"3522396"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for SNOWSHOE LIMITED (10624091)","SNOWSHOE LIMITED","10624091",2020-03-12,"3522397"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RAJLP2013 LTD. (08520445)","RAJLP2013 LTD.","08520445",2020-03-12,"3522403"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for RISK VENTURES LIMITED (08532876)","RISK VENTURES LIMITED","08532876",2020-03-12,"3522404"
"Corporate Insolvency","Resolutions for Winding-up","Notice timeline for LJA DEVELOPMENTS LIMITED (09850714)","LJA DEVELOPMENTS LIMITED","09850714",2020-03-12,"3522408"
